,Country,Total consumption
0,Algeria,0.619
1,Angola,5.622
2,Antigua and Barbuda,12.003
3,Argentina,7.301
4,Armenia,4.178
5,Austria,11.9
6,Azerbaijan,1.593
7,Bahamas,9.52
8,Barbados,6.233
9,Belgium,8.701
10,Belize,5.905
11,Bhutan,0
12,Bolivia,2.901
13,Bosnia and Herzegovina,6.333
14,Botswana,5.958
15,Brazil,5.939
16,Brunei Darussalam,0.672
17,Bulgaria,11.285
18,Cabo Verde,4.662
19,Cameroon,3.867
20,Chad,0.556
21,Chile,7.897
22,China,4.428
23,Colombia,4.024
24,Costa Rica,2.98
25,Croatia,8.78
26,Cuba,4.763
27,Cyprus,9.467
28,Czech Republic,12.761
29,Democratic Republic of the Congo,0.556
30,Denmark,9.013
31,Djibouti,0.194
32,Dominica,5.774
33,Dominican Republic,5.635
34,Ecuador,2.936
35,Egypt,0.132
36,El Salvador,3.025
37,Eritrea,0.897
38,Estonia,10.026
39,Eswatini,7.729
40,Ethiopia,1.239
41,Fiji,2.779
42,Finland,7.867
43,France,11.326
44,Gabon,6.244
45,Gambia,2.672
46,Germany,10.466
47,Greece,6.174
48,Grenada,9.056
49,Guatemala,1.631
50,Guinea,0.342
51,Guyana,4.87
52,Haiti,3.602
53,Honduras,2.718
54,Hungary,10.718
55,Iceland,7.83
56,India,2.962
57,Indonesia,0.077
58,Iran,0.019
59,Iraq,0.131
60,Ireland,10.867
61,Israel,3.76
62,Italy,7.609
63,Jamaica,3.14
64,Japan,8.334
65,Jordan,0.233
66,Kazakhstan,2.561
67,Kenya,1.709
68,Kiribati,0.417
69,Kyrgyzstan,3.587
70,Laos,8.982
71,Lebanon,1.118
72,Lesotho,3.705
73,Liberia,3.068
74,Lithuania,10.068
75,Luxembourg,10.857
76,Madagascar,0.878
77,Malaysia,0.669
78,Malta,8.187
79,Mauritania,0.004
80,Mauritius,3.05
81,Mongolia,3.805
82,Morocco,0.52
83,Mozambique,1.532
84,Myanmar,2.798
85,Netherlands,8.134
86,New Zealand,8.892
87,Nicaragua,3.738
88,Niger,0.115
89,Nigeria,4.706
90,North Macedonia,4.088
91,North Korea,3.63
92,Norway,5.803
93,Oman,0.472
94,Panama,6.649
95,Papua New Guinea,1.353
96,Paraguay,5.37
97,Peru,5.925
98,Poland,11.013
99,Qatar,0.869
100,Rwanda,6.471
101,Saint Lucia,8.855
102,Saint Vincent and the Grenadines,7.632
103,Sao Tome and Principe,4.063
104,Saudi Arabia,0.0
105,Senegal,0.256
106,Seychelles,9.491
107,Sierra Leone,3.205
108,Singapore,1.809
109,Slovakia,10.269
110,Slovenia,11.776
111,Solomon Islands,1.227
112,South Africa,7.212
113,South Korea,7.481
114,Spain,10.966
115,Sri Lanka,2.491
116,Suriname,6.531
117,Sweden,6.976
118,Switzerland,8.731
119,Syria,0.071
120,Tajikistan,0.877
121,Tanzania,7.5
122,Timor-Leste,0.419
123,Togo,1.435
124,Trinidad and Tobago,5.829
125,Turkey,1.142
126,Turkmenistan,2.414
127,Uganda,6.545
128,United Arab Emirates,2.459
129,United Kingdom,9.808
130,United States of America,8.904
131,Uruguay,5.356
132,Uzbekistan,2.468
133,Vanuatu,1.571
134,Venezuela,1.928
135,Vietnam,3.182
136,Yemen,0.019
137,Zimbabwe,3.034
138,Alaska,2.887
139,Arizona,2.234
140,Arkansas,1.795
141,California,2.633
142,Colorado,2.8
143,Connecticut,2.548
144,Delaware,3.359
145,District of Columbia,3.749
146,Florida,2.69
147,Hawaii,2.684
148,Idaho,2.096
149,Illinois,2.411
150,Iowa,2.295
151,Kansas,1.94
152,Louisiana,2.573
153,Maine,2.92
154,Montana,3.195
155,Nebraska,2.138
156,Nevada,3.419
157,New Hampshire,4.755
158,New Mexico,2.302
159,New York,2.244
160,North Dakota,3.274
161,Oklahoma,1.844
162,Oregon,2.736
163,Pennsylvania,2.418
164,Rhode Island,2.556
165,South Carolina,2.142
166,Tennessee,2.308
167,Vermont,3.104
168,Virginia,2.184
169,Washington,2.183
170,West Virginia,1.74
171,Wyoming,2.705
